variavel,desfecho,coef_baseline_pp,coef_robustez_pp,ep_pp,ic95_inf_pp,ic95_sup_pp,p_valor,n,clusters,variacao_magnitude_pct,sinal_invertido
mobilidade_descendente_aioe,Transição para menor AIOE,2.18746874812873,0.96907242982021,0.1109956804522578,0.7515163644937608,1.186628495146659,2.655474244267737e-18,2503704,30874,-55.69891315479578,False
muda_ocupacao_3,Muda de ocupação (3 dígitos),0.8607335299129999,0.5300037596698071,0.14562071850754477,0.24458120611252182,0.8154263132270924,0.00027348845262914674,2506568,30874,-38.42417644362267,False
muda_ocupacao_2,Muda de ocupação (2 dígitos),0.27783745350739,0.22120867998965546,0.13780834274105852,-0.04890129810808746,0.49131865808739844,0.10846205580931319,2506568,30874,-20.38197975213889,False
sai_do_emprego,Saída do emprego,-0.25037067190566,-0.0028581555714413905,0.07999969556641018,-0.15966082225663927,0.15394451111375648,0.9715002080112365,2778537,30888,-98.8584303625952,False
pareado,Pareamento (teste de atrito),-0.26055533884736,-0.20433210408997396,0.1389197578108786,-0.4766204604534212,0.06795625227347325,0.1413379878970193,3472881,30992,-21.578231713119134,False
formal_para_informal,Transição de formal para informal,-0.67308268115796,-0.46564759628965274,0.10393530336809471,-0.669365219841028,-0.26192997273827734,7.4858120757324584e-06,1462412,30173,-30.818663245270173,False
mobilidade_ascendente_aioe,Transição para maior AIOE,-1.36367819210617,-0.3966762309291074,0.11018710447910154,-0.612647454336298,-0.18070500752191693,0.00031868595285584726,2503704,30874,-70.91130200473104,False
