variavel,desfecho,k,trimestre,coef_pp,ep_pp,ic95_inf_pp,ic95_sup_pp
formal_para_informal,Transição de formal para informal,-15,2019T1,-0.1774204803965274,0.3738371924596788,-0.9101571267157483,0.5553161659226935
formal_para_informal,Transição de formal para informal,-14,2019T2,-0.4536299398125153,0.3676020742789307,-1.1741454918229934,0.26688561219796286
formal_para_informal,Transição de formal para informal,-13,2019T3,-0.11574488597215936,0.36077436702488164,-0.8228778441254976,0.591388072181179
formal_para_informal,Transição de formal para informal,-12,2019T4,0.0599592098638039,0.362277910380318,-0.650120756607806,0.7700391763354137
formal_para_informal,Transição de formal para informal,-11,2020T1,0.41706815653871493,0.33498947446214267,-0.2395253259198378,1.0736616389972677
formal_para_informal,Transição de formal para informal,-10,2020T2,0.43318735156921956,0.33709867530758725,-0.22754025340329742,1.0939149565417365
formal_para_informal,Transição de formal para informal,-9,2020T3,0.36340723248761975,0.36444125047927994,-0.35091297171563923,1.077727436690879
formal_para_informal,Transição de formal para informal,-8,2020T4,0.3753789509349559,0.3651193360167717,-0.34027032948832864,1.0910282313582402
formal_para_informal,Transição de formal para informal,-7,2021T1,0.4597170394586075,0.34910829423692036,-0.22454992455935946,1.1439840034765745
formal_para_informal,Transição de formal para informal,-6,2021T2,0.5044537778478336,0.3610382893774515,-0.20319647923512243,1.2121040349307899
formal_para_informal,Transição de formal para informal,-5,2021T3,0.14387740343291386,0.3653388924788574,-0.5722022169055831,0.8599570237714108
formal_para_informal,Transição de formal para informal,-4,2021T4,-1.1235688766218264,0.40870875139843227,-1.9246552475379684,-0.32248250570568426
formal_para_informal,Transição de formal para informal,-3,2022T1,-0.5282053213483847,0.3908175459252921,-1.2942241758123998,0.23781353311563028
formal_para_informal,Transição de formal para informal,-2,2022T2,-0.6050551923371448,0.4000542870670786,-1.3891784485665921,0.17906806389230276
formal_para_informal,Transição de formal para informal,-1,2022T3,0.0,0.0,0.0,0.0
formal_para_informal,Transição de formal para informal,0,2022T4,-0.5117909350792119,0.3901315931427074,-1.276465293191386,0.25288342303296224
formal_para_informal,Transição de formal para informal,1,2023T1,-1.191121538723554,0.36049711353541025,-1.8977110683573302,-0.4845320090897777
formal_para_informal,Transição de formal para informal,2,2023T2,-0.7063948325140653,0.3922806597230835,-1.4752814516601422,0.06249178663201155
formal_para_informal,Transição de formal para informal,3,2023T3,-0.7636479130041903,0.3794230308544717,-1.5073330378986753,-0.019962788109705205
formal_para_informal,Transição de formal para informal,4,2023T4,-0.6082503645921628,0.3876425671745538,-1.368046126948504,0.15154539776417844
formal_para_informal,Transição de formal para informal,5,2024T1,-0.3815804748681331,0.38346631932958486,-1.1331906155104163,0.3700296657741501
formal_para_informal,Transição de formal para informal,6,2024T2,-0.5109736985274327,0.391229194341952,-1.2777994012301193,0.2558520041752539
formal_para_informal,Transição de formal para informal,7,2024T3,-1.1192775150496448,0.3752297187852885,-1.8547435716317264,-0.38381145846756326
formal_para_informal,Transição de formal para informal,8,2024T4,-1.1199832776411538,0.3859434637318647,-1.876448725669608,-0.3635178296126994
formal_para_informal,Transição de formal para informal,9,2025T1,-0.529791893945983,0.38183108007874444,-1.2781968967668877,0.21861310887492189
formal_para_informal,Transição de formal para informal,10,2025T2,-0.4983995198461517,0.38605596490043764,-1.2550854749044837,0.25828643521218037
formal_para_informal,Transição de formal para informal,11,2025T3,-0.5089293872862981,0.3727385859913665,-1.239512718645284,0.22165394407268768
mobilidade_ascendente_aioe,Transição para maior AIOE,-15,2019T1,-0.40016566422834227,0.3178206879818871,-1.0231070609070188,0.22277573245033438
mobilidade_ascendente_aioe,Transição para maior AIOE,-14,2019T2,0.07903689580763475,0.323840314581397,-0.555703212355791,0.7137770039710606
mobilidade_ascendente_aioe,Transição para maior AIOE,-13,2019T3,0.2363113851120687,0.320013197663147,-0.39092741917637747,0.8635501894005148
mobilidade_ascendente_aioe,Transição para maior AIOE,-12,2019T4,0.16932634008953512,0.32240551561208275,-0.46260150409078377,0.8012541842698541
mobilidade_ascendente_aioe,Transição para maior AIOE,-11,2020T1,2.877948667467295,0.3251398421540401,2.240661432726726,3.5152359022078654
mobilidade_ascendente_aioe,Transição para maior AIOE,-10,2020T2,3.5438009291889636,0.3289940205216533,2.8989593490386754,4.188642509339252
mobilidade_ascendente_aioe,Transição para maior AIOE,-9,2020T3,3.5880696579276914,0.35656856758507527,2.889180850803151,4.286958465052232
mobilidade_ascendente_aioe,Transição para maior AIOE,-8,2020T4,3.481249922462886,0.34757949024521617,2.7999800703173356,4.162519774608437
mobilidade_ascendente_aioe,Transição para maior AIOE,-7,2021T1,3.3561477383164053,0.3584802137278815,2.6535120274716673,4.058783449161144
mobilidade_ascendente_aioe,Transição para maior AIOE,-6,2021T2,3.385172233500765,0.33753679221517907,2.723586475480673,4.046757991520857
mobilidade_ascendente_aioe,Transição para maior AIOE,-5,2021T3,3.37169676069925,0.2998009745221144,2.784074730867517,3.959318790530983
mobilidade_ascendente_aioe,Transição para maior AIOE,-4,2021T4,-0.44527419933058654,0.37583631600500517,-1.1819285722770996,0.29138017361592633
mobilidade_ascendente_aioe,Transição para maior AIOE,-3,2022T1,-0.7958826004124819,0.3466235880342485,-1.4752788455811878,-0.1164863552437759
mobilidade_ascendente_aioe,Transição para maior AIOE,-2,2022T2,-0.07867255000490431,0.3291645386875096,-0.7238483526536467,0.566503252643838
mobilidade_ascendente_aioe,Transição para maior AIOE,-1,2022T3,0.0,0.0,0.0,0.0
mobilidade_ascendente_aioe,Transição para maior AIOE,0,2022T4,-0.24718318329742006,0.3292691072895998,-0.8925639446335544,0.39819757803871436
mobilidade_ascendente_aioe,Transição para maior AIOE,1,2023T1,0.6931773789824075,0.3405258768899159,0.02573289416295272,1.3606218638018621
mobilidade_ascendente_aioe,Transição para maior AIOE,2,2023T2,0.1271140798441134,0.3376109144184268,-0.5346169606908117,0.7888451203790385
