variavel,desfecho,p_upa,holm_upa,bh_upa,p_ocupacao,holm_ocupacao,bh_ocupacao,p_ocupacao_upa,holm_ocupacao_upa,bh_ocupacao_upa
mobilidade_descendente_aioe,Transição para menor AIOE,4.427275453480957e-96,3.09909281743667e-95,3.09909281743667e-95,3.863240965299197e-09,2.704268675709438e-08,2.704268675709438e-08,4.116530257450859e-09,2.8815711802156012e-08,2.8815711802156012e-08
muda_ocupacao_3,Muda de ocupação (3 dígitos),2.6855987431811357e-10,1.0742394972724543e-09,4.699797800566988e-10,0.060947185328294066,0.3047359266414703,0.09220791423035309,0.06189420860414483,0.30947104302072415,0.11529640004617026
muda_ocupacao_2,Muda de ocupação (2 dígitos),0.030119563805181923,0.060239127610363846,0.03513949110604558,0.5506292811509846,0.5506292811509846,0.5506292811509846,0.5515132684134576,0.5515132684134576,0.5515132684134576
sai_do_emprego,Saída do emprego,0.0008545918714529427,0.002563775614358828,0.0011964286200341198,0.1404720714551565,0.3047359266414703,0.16388408336434926,0.14227727118726263,0.30947104302072415,0.16599014971847306
pareado,Pareamento (teste de atrito),0.06407835912897487,0.06407835912897487,0.06407835912897487,0.061917513832679585,0.3047359266414703,0.09220791423035309,0.09207184583911658,0.30947104302072415,0.12890058417476322
formal_para_informal,Transição de formal para informal,9.713988992352716e-13,4.856994496176358e-12,2.2665974315489672e-12,0.06586279587882363,0.3047359266414703,0.09220791423035309,0.06588365716924015,0.30947104302072415,0.11529640004617026
mobilidade_ascendente_aioe,Transição para maior AIOE,1.0533379367174455e-39,6.320027620304673e-39,3.6866827785110595e-39,0.004951074774511898,0.029706448647071386,0.017328761710791642,0.005018731560212085,0.03011238936127251,0.0175655604607423
