origem,destino,diferenca_pos_pre,erro_bootstrap_upa,ic025,ic975
1,1,-0.03595249079772933,0.001401924026097965,-0.038545140656585854,-0.03308269893565302
1,2,0.02032966420846173,0.0008958483178128277,0.018471704234481766,0.021939288782405118
1,3,0.010404516337699149,0.0006472092137462807,0.009009283466609879,0.011497032968967142
1,4,0.003365393159751264,0.00045501814464044395,0.0025490637842817856,0.0043569513654088225
1,5,0.0018529170918171606,0.00038541521554999144,0.0011394106398073586,0.0026081166618666606
2,1,0.02053369419149592,0.0011593109200963867,0.01857759721003668,0.022955952465394693
2,2,-0.049729667404869504,0.0017153568418664582,-0.052985224441504934,-0.04647503129679456
2,3,0.01595296310044736,0.0008660062857460073,0.014164808356744739,0.017590434898771164
2,4,0.007503558004865005,0.0007241269605309074,0.006122388775350118,0.008945168732497304
2,5,0.005739452108061056,0.0006022006045593669,0.004554301348499674,0.006903088275540926
3,1,0.011724535871132473,0.0009337247387551105,0.009751067299556606,0.013369818923892982
3,2,0.018315117561864956,0.0009477709078362105,0.01628522458682412,0.020134467362111736
3,3,-0.06422699579052593,0.0018487393521506284,-0.06776822180139006,-0.06075314333706622
3,4,0.015481506286576317,0.0009364450668990358,0.01385243275007113,0.01763528977103601
3,5,0.018705836070952248,0.0010087103003209891,0.016683102582527903,0.02048460220937347
4,1,0.006861500521908925,0.0008721396714375544,0.005220578870855157,0.008511414406937277
4,2,0.012241132198731006,0.0011703091280538007,0.00975875606685311,0.014295227195939744
4,3,0.02462064403844881,0.0014189796017252832,0.021907824337914154,0.02724776821680073
4,4,-0.08058901409129471,0.002833380408353046,-0.08577223803937278,-0.0745976198286967
4,5,0.03686573733220601,0.0020419852111302115,0.032643799686607196,0.04056568823218077
5,1,0.0026138189731856575,0.0006340310376989355,0.0014014144300088186,0.0038738576021231635
5,2,0.008168625241085747,0.0006842745623814435,0.00697771481360419,0.009580498879926944
5,3,0.019237421614340985,0.0009531799590185489,0.017305361536800994,0.02097107795622957
5,4,0.02783878561003479,0.0012602714829525333,0.025336745108673033,0.030233623997737373
5,5,-0.0578586514386471,0.002018196979451873,-0.0613177170717549,-0.05407467728542542
