desfecho,variavel,termo,efeito_pp,erro_padrao_pp,ic95_inferior_pp,ic95_superior_pp,p_valor,n_celulas,clusters_upa
pareamento entre entrevistas (teste de atrito),pareado,AIOE x pos,-0.26055533863018,0.14071141035273,-0.53635535368095,0.015244676420589999,0.0640783517822907,3960584,31145
pareamento entre entrevistas (teste de atrito),pareado,Teletrabalho x pos,-0.36179357896270004,0.29080065643433,-0.93177454369264,0.20818738576724,0.213461390589489,3960584,31145
mudanca de ocupacao (2 digitos),muda_ocupacao_2,AIOE x pos,0.27783745366173,0.12811751463793,0.02672194568666,0.5289529616368001,0.0301195609204592,2880049,31036
mudanca de ocupacao (2 digitos),muda_ocupacao_2,Teletrabalho x pos,0.39088092424494997,0.29030894686577996,-0.17813634765519998,0.9598981961451101,0.178173438244053,2880049,31036
mudanca de ocupacao (3 digitos),muda_ocupacao_3,AIOE x pos,0.86073353007051,0.13623511429117,0.59370719861263,1.1277598615284001,2.68559711628801e-10,2880049,31036
mudanca de ocupacao (3 digitos),muda_ocupacao_3,Teletrabalho x pos,0.09295524091455,0.30853264975404,-0.5117812253588699,0.69769170718798,0.76320171352954,2880049,31036
saida do emprego,sai_do_emprego,AIOE x pos,-0.25037067210996,0.07507806639223,-0.39752671531469996,-0.10321462890522,0.0008545933816255,3176283,31047
saida do emprego,sai_do_emprego,Teletrabalho x pos,0.21475689608120002,0.15325611196673,-0.08563127476145,0.51514506692385,0.161136120159511,3176283,31047
transicao formal para informal,formal_para_informal,AIOE x pos,-0.67308268131204,0.09430164025264,-0.85791786896817,-0.48824749365592,9.71398007508794e-13,1676862,30360
transicao formal para informal,formal_para_informal,Teletrabalho x pos,1.73443080169095,0.19851577418362998,1.34533152117336,2.12353008220855,2.51459663705819e-18,1676862,30360
transicao para ocupacao de menor AIOE,mobilidade_descendente_aioe,AIOE x pos,2.18746874810114,0.10480512740428001,1.98204646153171,2.39289103467058,4.42723898282619e-96,2876964,31036
transicao para ocupacao de menor AIOE,mobilidade_descendente_aioe,Teletrabalho x pos,-0.2385420854336,0.25534711347908,-0.7390327505270999,0.26194857965988,0.350214442836998,2876964,31036
transicao para ocupacao de maior AIOE,mobilidade_ascendente_aioe,AIOE x pos,-1.36367819213987,0.10327124889587,-1.56609401482418,-1.16126236945557,1.05333275581181e-39,2876964,31036
transicao para ocupacao de maior AIOE,mobilidade_ascendente_aioe,Teletrabalho x pos,0.76234434205391,0.22061200032998,0.32993590293596997,1.19475278117186,0.0005498264861215,2876964,31036
