desfecho,variavel,efeito_pp,erro_padrao_pp,ic95_inferior_pp,ic95_superior_pp,p_valor,n_celulas,clusters_upa
pareamento entre entrevistas (teste de atrito),pareado,-0.26055533863018,0.14071141035273,-0.53635535368095,0.015244676420589999,0.0640783517822907,3960584,31145
mudanca de ocupacao (2 digitos),muda_ocupacao_2,0.27783745366173,0.12811751463793,0.02672194568666,0.5289529616368001,0.0301195609204592,2880049,31036
mudanca de ocupacao (3 digitos),muda_ocupacao_3,0.86073353007051,0.13623511429117,0.59370719861263,1.1277598615284001,2.68559711628801e-10,2880049,31036
saida do emprego,sai_do_emprego,-0.25037067210996,0.07507806639223,-0.39752671531469996,-0.10321462890522,0.0008545933816255,3176283,31047
transicao formal para informal,formal_para_informal,-0.67308268131204,0.09430164025264,-0.85791786896817,-0.48824749365592,9.71398007508794e-13,1676862,30360
transicao para ocupacao de menor AIOE,mobilidade_descendente_aioe,2.18746874810114,0.10480512740428001,1.98204646153171,2.39289103467058,4.42723898282619e-96,2876964,31036
transicao para ocupacao de maior AIOE,mobilidade_ascendente_aioe,-1.36367819213987,0.10327124889587,-1.56609401482418,-1.16126236945557,1.05333275581181e-39,2876964,31036
