termo,estimativa,erro_padrao,estatistica,p_valor,n,modelo,erro_padrao_conservador,graus_liberdade_conservador,p_valor_conservador,ic95_inferior_conservador,ic95_superior_conservador
idade,-0.0012039105904662194,0.0001849833430649719,-6.5082107962735245,7.720935002453189e-11,2876964,05_pnadc_mobilidade_ascendente_aioe,0.0001849833430649719,31035,7.720933859412734e-11,-0.0015664854210189483,-0.0008413357599134907
idade_quadrado,1.3608937953095254e-05,2.194220459716978e-06,6.202174395388969,5.639007039093258e-10,2876964,05_pnadc_mobilidade_ascendente_aioe,2.194220459716978e-06,31035,5.639005958907637e-10,9.308177148389798e-06,1.790969875780071e-05
aioe_origem:pos,-0.013636781921061712,0.0010327125041982494,-13.20481921698884,0.0,2876964,05_pnadc_mobilidade_ascendente_aioe,0.0010327125041982494,31035,1.0533354708312518e-39,-0.015660940177774862,-0.01161262366434856
telework:pos,0.0076234434209168185,0.0022061200186501997,3.455588706176182,0.0005498265347940734,2876964,05_pnadc_mobilidade_ascendente_aioe,0.0022061200186501997,31035,0.0005498265347940987,0.0032993589996501167,0.01194752784218352
