termo,estimativa,erro_padrao,estatistica,p_valor,n,modelo,erro_padrao_conservador,graus_liberdade_conservador,p_valor_conservador,ic95_inferior_conservador,ic95_superior_conservador
idade,-0.0094869154283507,0.0001472030842391,-64.4478033689883,0.0,3176283,05_pnadc_sai_do_emprego,0.0001472030842391,31046,0.0,-0.0097754394203112,-0.0091983914363903
idade_quadrado,0.0001187843891065,1.75346740820202e-06,67.7425702644485,0.0,3176283,05_pnadc_sai_do_emprego,1.75346740820202e-06,31046,0.0,0.0001153475221482,0.0001222212560648
aioe_origem:pos,-0.0025037067210996,0.0007507806639223,-3.33480447940593,0.0008545933816255,3176283,05_pnadc_sai_do_emprego,0.0007507806639223,31046,0.0008545933816255,-0.003975267153147,-0.0010321462890522
pos:telework,0.002147568960812,0.0015325611196673,1.4012941691214,0.161136120159511,3176283,05_pnadc_sai_do_emprego,0.0015325611196673,31046,0.161136120159511,-0.0008563127476145,0.0051514506692385
