,idade,idade_quadrado,aioe_origem:pos,telework:pos
idade,3.012516502085556e-08,-3.5797507357389453e-10,-1.8009287928661133e-09,6.909773228498369e-09
idade_quadrado,-3.5797507357389463e-10,4.374025720522376e-12,2.7659813126750103e-11,-9.521243871198259e-11
aioe_origem:pos,-1.8009287928661187e-09,2.765981312675015e-11,8.892798991044551e-07,-1.4820482089987451e-06
telework:pos,6.909773228498372e-09,-9.52124387119826e-11,-1.4820482089987445e-06,3.9408511902917664e-06
