,idade,idade_quadrado,aioe_origem:pos,telework:pos
idade,3.421883721149309e-08,-3.997263418491607e-10,7.0505348944207424e-09,-1.4830378838324763e-08
idade_quadrado,-3.997263418491627e-10,4.8146034258405864e-12,-8.043089590419886e-11,2.0844069721102532e-10
aioe_origem:pos,7.050534894420747e-09,-8.043089590419888e-11,1.0664951163274193e-06,-1.6711578843978335e-06
telework:pos,-1.4830378838324768e-08,2.084406972110251e-10,-1.6711578843978341e-06,4.8669655366891575e-06
