termo,estimativa,erro_padrao,estatistica,p_valor,n,modelo,erro_padrao_conservador,graus_liberdade_conservador,p_valor_conservador,ic95_inferior_conservador,ic95_superior_conservador
idade,-0.001190204641664776,0.000261940633613691,-4.543795383117555,5.545836461617881e-06,2880049,05_pnadc_muda_ocupacao_2,0.000261940633613691,31035,5.545836461613683e-06,-0.001703618872772065,-0.0006767904105574871
idade_quadrado,6.409159425494976e-06,3.1161223708009706e-06,2.0567739847288347,0.03971631132065245,2880049,05_pnadc_muda_ocupacao_2,3.1161223708009706e-06,31035,0.0397163113206525,3.014336062145953e-07,1.2516885244775355e-05
aioe_origem:pos,0.002778374535073989,0.0012811751682349512,2.168614100522803,0.03011956382324299,2880049,05_pnadc_muda_ocupacao_2,0.0012811751682349512,31035,0.030119563823242965,0.00026721941248548323,0.005289529657662495
telework:pos,0.0039088092476643995,0.0029030894568600725,1.3464308646871994,0.1781734359014988,2880049,05_pnadc_muda_ocupacao_2,0.0029030894568600725,31035,0.17817343590149887,-0.001781363448213157,0.009598981943541956
