termo,estimativa,erro_padrao,estatistica,p_valor,n,modelo,erro_padrao_conservador,graus_liberdade_conservador,p_valor_conservador,ic95_inferior_conservador,ic95_superior_conservador
idade,-0.009486915428319212,0.00014720307810857423,-64.44780605281801,0.0,3176283,05_pnadc_sai_do_emprego,0.00014720307810857423,31046,0.0,-0.009775439408263588,-0.009198391448374836
idade_quadrado,0.00011878438910616785,1.7534673083610387e-06,67.74257412143903,0.0,3176283,05_pnadc_sai_do_emprego,1.7534673083610387e-06,31046,0.0,0.00011534752234352091,0.0001222212558688148
aioe_origem:pos,-0.0025037067190566264,0.0007507806195293695,-3.3348046738687622,0.0008545927842458223,3176283,05_pnadc_sai_do_emprego,0.0007507806195293695,31046,0.0008545927842459196,-0.003975267064091973,-0.0010321463740212793
telework:pos,0.002147568953843523,0.001532561069428372,1.4012942105103467,0.16113610778794185,3176283,05_pnadc_sai_do_emprego,0.001532561069428372,31046,0.16113610778794182,-0.0008563126561126236,0.00515145056379967
