,idade,idade_quadrado,aioe_origem:pos,telework:pos
idade,6.099595678638296e-08,-7.269553237009153e-10,-9.701191704273237e-09,-3.3479430584529625e-09
idade_quadrado,-7.269553237009168e-10,8.975893160482849e-12,1.7281866391972327e-10,6.862094500034685e-11
aioe_origem:pos,-9.701191704273242e-09,1.7281866391972332e-10,1.979970200213191e-06,-2.574804393315379e-06
telework:pos,-3.3479430584529625e-09,6.862094500034659e-11,-2.5748043933153792e-06,8.456501993523325e-06
