,idade,idade_quadrado,aioe_origem:pos,telework:pos
idade,6.86128955379419e-08,-8.039485370780849e-10,5.988247255214963e-09,-6.046167346858232e-09
idade_quadrado,-8.039485370780852e-10,9.710218629806262e-12,-7.781110321222939e-11,1.5932667066196207e-10
aioe_origem:pos,5.988247255215e-09,-7.781110321222982e-11,1.6414098117018553e-06,-2.5365565923152924e-06
telework:pos,-6.046167346858331e-09,1.5932667066196326e-10,-2.536556592315292e-06,8.42792839453211e-06
