,idade,idade_quadrado,aioe_origem:pos,telework:pos
idade,3.275010332287718e-08,-3.842491711105152e-10,-6.267740133058169e-09,1.351852110631231e-08
idade_quadrado,-3.8424917111051455e-10,4.647655622998948e-12,7.119478503961646e-11,-1.1887679150518213e-10
aioe_origem:pos,-6.267740133058168e-09,7.119478503961649e-11,1.098411489593153e-06,-1.911956305123446e-06
telework:pos,1.3518521106312308e-08,-1.1887679150518213e-10,-1.9119563051234473e-06,6.520214833883059e-06
