,idade,idade_quadrado,aioe_origem:pos,telework:pos
idade,2.1668746204639006e-08,-2.5474126764097215e-10,-4.748710406224488e-09,9.614916704754747e-09
idade_quadrado,-2.5474126764097107e-10,3.0746476014909057e-12,5.878378704680701e-11,-1.0955986121619351e-10
aioe_origem:pos,-4.748710406224489e-09,5.878378704680703e-11,5.636715386609039e-07,-9.060673840640416e-07
telework:pos,9.614916704754737e-09,-1.0955986121619341e-10,-9.060673840640414e-07,2.348743431527435e-06
