"termo","estimativa","erro_padrao","estatistica","p_valor","n","modelo","erro_padrao_conservador","graus_liberdade_conservador","p_valor_conservador","ic95_inferior_conservador","ic95_superior_conservador"
"idade",-0.00148394954042345,0.000271642811135043,-5.46287065070066,4.72090792335286e-08,2880049,"05_pnadc_muda_ocupacao_3",0.000271642811135043,31035,4.72090792335286e-08,-0.00201638043169328,-0.000951518649153623
"idade_quadrado",1.00521318790057e-05,3.2392113406606e-06,3.10326521546313,0.00191569949565233,2880049,"05_pnadc_muda_ocupacao_3",3.2392113406606e-06,31035,0.00191569949565233,3.70314670279995e-06,1.64011170552115e-05
"aioe_origem:pos",0.00860733530070517,0.00136235114291175,6.31800057238456,2.68559711628801e-10,2880049,"05_pnadc_muda_ocupacao_3",0.00136235114291175,31035,2.68559711628801e-10,0.00593707198612635,0.011277598615284
"pos:telework",0.000929552409145565,0.00308532649754043,0.301281698998984,0.76320171352954,2880049,"05_pnadc_muda_ocupacao_3",0.00308532649754043,31035,0.76320171352954,-0.00511781225358872,0.00697691707187985
