termo,estimativa,erro_padrao,estatistica,p_valor,n,modelo,erro_padrao_conservador,graus_liberdade_conservador,p_valor_conservador,ic95_inferior_conservador,ic95_superior_conservador
idade,0.005467838385391002,0.00024697359532221855,22.139364243603808,0.0,3960584,05_pnadc_pareado,0.00024697359532221855,31144,8.976567226248134e-108,0.004983760220469916,0.005951916550312088
idade_quadrado,-3.59118048832575e-05,2.9959794993428858e-06,-11.98666576027443,0.0,3960584,05_pnadc_pareado,2.9959794993428858e-06,31144,4.9347448257181306e-33,-4.178404501601726e-05,-3.0039564750497742e-05
aioe_origem:pos,-0.0026055533884736318,0.0014071141390140287,-1.8517000975481313,0.0640783582702853,3960584,05_pnadc_pareado,0.0014071141390140287,31144,0.06407835827028531,-0.005363553608536617,0.00015244683158935346
telework:pos,-0.0036179357821730365,0.002908006532579204,-1.244129179780134,0.21346138653203006,3960584,05_pnadc_pareado,0.002908006532579204,31144,0.21346138653203003,-0.009317745367213446,0.002081873802867373
