,idade,idade_quadrado,aioe_origem:pos,telework:pos
idade,7.378981495856959e-08,-8.663983226417791e-10,5.148348568797552e-09,-1.33237933597262e-09
idade_quadrado,-8.663983226417829e-10,1.049248982674275e-11,-6.617344983051963e-11,6.913684029667105e-11
aioe_origem:pos,5.148348568797585e-09,-6.617344983051994e-11,1.85600069587672e-06,-2.8982142449082133e-06
telework:pos,-1.3323793359726992e-09,6.913684029667182e-11,-2.898214244908213e-06,9.519239669640985e-06
