termo,estimativa,erro_padrao,estatistica,p_valor,n,modelo,erro_padrao_conservador,graus_liberdade_conservador,p_valor_conservador,ic95_inferior_conservador,ic95_superior_conservador
idade,-0.0023952579856875854,0.00017356602496126816,-13.800269875524863,0.0,1676862,05_pnadc_formal_para_informal,0.00017356602496126816,30359,3.4291930432651454e-43,-0.0027354547066406375,-0.0020550612647345333
idade_quadrado,2.3563590273822457e-05,2.0914171560265964e-06,11.266805479682505,0.0,1676862,05_pnadc_formal_para_informal,2.0914171560265964e-06,30359,2.18920744316288e-29,1.946432454031281e-05,2.7662856007332102e-05
aioe_origem:pos,-0.006730826811579685,0.0009430163832640741,-7.137550238822143,9.71445146547012e-13,1676862,05_pnadc_formal_para_informal,0.0009430163832640741,30359,9.713969907814513e-13,-0.008579178650385896,-0.004882474972773474
telework:pos,0.017344308010542032,0.001985157724285848,8.73699243055439,0.0,1676862,05_pnadc_formal_para_informal,0.001985157724285848,30359,2.5145949938608208e-18,0.013453315239765758,0.021235300781318307
